"pl_name";"hostname";"sy_mnum";"cb_flag";"disc_year";"pl_orbsmax";"pl_rade";"st_teff";"st_rad";"sy_dist"
"11 Com b";"11 Com";0;0;2007;1.178;12.2;4874;13.76;93.1846
"11 UMi b";"11 UMi";0;0;2009;1.53;12.3;4213;29.79;125.321
"14 And b";"14 And";0;0;2008;0.775;13.1;4888;11.55;75.4392
"14 Her b";"14 Her";0;0;2002;2.774;12.6;5338;0.93;17.9323
"16 Cyg B b";"16 Cyg B";0;0;1996;1.66;13.5;5750;1.13;21.1397
"17 Sco b";"17 Sco";0;0;2020;1.45;12.9;4157;25.92;124.953
"18 Del b";"18 Del";0;0;2008;2.476;12.5;4980;8.8;76.222
"1RXS J160929.1-210524 b";"1RXS J160929.1-210524";0;0;2008;330.0;18.647;4060;1.31;139.135
"24 Boo b";"24 Boo";0;0;2018;0.194;13.9;4816;12.19;95.9863
"24 Sex b";"24 Sex";0;0;2010;1.333;13.4;5098;4.9;72.0691
"24 Sex c";"24 Sex";0;0;2010;2.08;13.9;5098;4.9;72.0691
"2M0437 b";"2MASS J04372171+2651014";0;0;2021;118.0;13.0;3100;0.84;128.484
"2MASS J01225093-2439505 b";"2MASS J01225093-2439505";0;0;2013;52.0;11.209;3530;0.37;33.8281
"2MASS J02192210-3925225 b";"2MASS J02192210-3925225";0;0;2015;156.0;16.141;3064;0.28;40.0896412
"2MASS J0249-0557 c";"2MASS J0249-0557 A";0;1;2018;1950.0;12.4;2859;0.32;66.0613
"2MASS J03590986+2009361 b";"2MASS J03590986+2009361";0;0;2024;572.0;12.2;2943;0.29;117.435
"2MASS J04414489+2301513 b";"2MASS J04414489+2301513";0;0;2010;15.0;12.6;2936;0.23;120.423987
"2MASS J11550485-7919108 b";"2MASS J11550485-7919108";0;0;2024;587.0;12.1;3021;0.6;100.862
"2MASS J12073346-3932539 b";"2MASS J12073346-3932539";0;0;2004;55.0;12.9;2825;0.22;64.308
"2MASS J19383260+4603591 b";"2MASS J19383260+4603591";0;1;2015;0.92;13.4;29564;0.2;396.332
"2MASS J21252752-8138278 b";"2MASS J21252752-8138278";0;0;2024;7493.0;12.4;3592;0.67;34.1154
"2MASS J22362452+4751425 b";"2MASS J22362452+4751425";0;0;2016;230.0;12.3;4045;0.64;69.5737
"30 Ari B b";"30 Ari B";0;0;2009;0.99;12.3;6331;1.41;44.657
"4 UMa b";"4 UMa";0;0;2006;0.877;12.6;4415;18.11;73.4603
"42 Dra b";"42 Dra";0;0;2008;1.19;13.0;4200;22.03;90.6545
"47 UMa b";"47 UMa";0;0;1996;2.1;13.2;5872;1.21;13.7967
"47 UMa c";"47 UMa";0;0;2001;3.6;14.2;5872;1.21;13.7967
"47 UMa d";"47 UMa";0;0;2009;11.6;13.5;5872;1.21;13.7967
